名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,電話番号,携帯,キャリア,カレーの食べ方
福田 優,ふくだ ゆう,fukuda_yuu@example.com,男,70,1951/4/2,既婚,山口県,039-924-5973,090- 157-9126,ソフトバンク,手前ルー・混ぜ混ぜ派
中沢 陽介,なかざわ ようすけ,nakazawa_yousuke@example.com,男,33,1988/2/20,未婚,岩手県,056-613-3421,080-1868-2453,ドコモ,ぶっかけ・せき止め派
竹中 寛,たけなか ひろし,takenaka_hiroshi@example.com,男,54,1967/8/3,既婚,千葉県,0  -624-8193,080-5119-3586,ドコモ,ぶっかけ・せき止め派
三田 真一,みた しんいち,mita_shinichi@example.com,男,37,1984/1/5,既婚,富山県,032-369-5631,080-6495-3778,au,手前ルー・せき止め派
生田 雅之,なまた まさゆき,namata_masayuki@example.com,男,66,1954/12/31,既婚,福島県,042-666-7111,080-6716-8768,au,左ルー・せき止め派
宮沢 麗奈,みやざわ れな,miyazawa_rena@example.com,女,77,1944/7/3,既婚,神奈川県,035-301-3332,090-7935-9323,ドコモ,ぶっかけ・ルー攻め派
土居 涼子,どい りょうこ,doi_ryouko@example.com,女,26,1995/4/9,未婚,愛知県,063-372-2521,080-4321-4005,ドコモ,右ルー・ルー攻め派
邑野 佑,むらの たすく,murano_tasuku@example.com,男,24,1997/2/8,未婚,埼玉県,017-590- 241,090- 722-1986,ドコモ,ぶっかけ・せき止め派
岸部 陽子,きしべ ようこ,kishibe_youko@example.com,女,70,1951/7/16,既婚,千葉県,094-225-9323,090-6344-6068,au,右ルー・別口派
大滝 早紀,おおたき さき,ootaki_saki@example.com,女,54,1967/3/12,既婚,大阪府,094-577-8357,090-4111-7488,au,右ルー・混ぜ混ぜ派
三田 恵望子,みた えみこ,mita_emiko@example.com,女,44,1977/5/9,既婚,鹿児島県,023-614-9580,080-8267-9625,ドコモ,ぶっかけ・せき止め派
河西 えみ,かわにし えみ,kawanishi_emi@example.com,女,67,1954/4/20,既婚,兵庫県,043-995-2424,090-8332-3931,ドコモ,右ルー・別口派
豊島 陽介,とよしま ようすけ,toyoshima_yousuke@example.com,男,26,1995/7/23,未婚,鳥取県,012-716-1873,090-6718-8010,ソフトバンク,ぶっかけ・せき止め派
三木 兼,みき けん,miki_ken@example.com,男,78,1942/9/30,既婚,兵庫県,073-223-9613,090-8974-1511,ドコモ,左ルー・ルー攻め派
酒井 誠治,さかい せいじ,sakai_seiji@example.com,男,70,1951/6/4,既婚,大阪府,085-755-4604,090-5226-9107,ドコモ,手前ルー・せき止め派
泉 浩介,いずみ こうすけ,izumi_kousuke@example.com,男,41,1980/1/3,既婚,東京都,089-970-5631,090-8819-8068,ドコモ,右ルー・ルー攻め派
河合 郁恵,かわい いくえ,kawai_ikue@example.com,女,22,1999/7/16,既婚,宮城県,091-862-3958,090- 601-2081,ツーカー,ぶっかけ・せき止め派
小笠原 華子,おがさわら はなこ,ogasawara_hanako@example.com,女,78,1942/10/2,既婚,埼玉県,051-789-7730,090-2073-3339,ソフトバンク,ぶっかけ・混ぜ混ぜ派
砂川 真一,すなかわ しんいち,sunakawa_shinichi@example.com,男,44,1976/11/27,未婚,大阪府,084-990-4494,080-2032-2254,ドコモ,ぶっかけ・混ぜ混ぜ派
中田 聖陽,なかた まさあき,nakata_masaaki@example.com,男,74,1947/7/24,既婚,広島県,0 1-132-6490,090- 389-6296,ドコモ,右ルー・ルー攻め派
三枝 杏,さんし あん,sannshi_ann@example.com,女,23,1998/3/10,既婚,千葉県,076-232-5497,090-2554-4799,ソフトバンク,ぶっかけ・せき止め派
山岸 勇太,やまぎし ゆうた,yamagishi_yuuta@example.com,男,78,1943/7/6,既婚,東京都,084-261-9674,080-3771-4645,ドコモ,ぶっかけ・混ぜ混ぜ派
車 幸平,くるま こうへい,kuruma_kouhei@example.com,男,27,1994/3/3,既婚,茨城県,015-879-8943,080-8543-  99,au,ぶっかけ・せき止め派
吉永 里穂,よしなが りほ,yoshinaga_riho@example.com,女,69,1952/6/16,既婚,東京都,040-564-7022,080-6815-9613,au,ぶっかけ・混ぜ混ぜ派
島 有海,しま あみ,shima_ami@example.com,女,42,1979/8/2,既婚,北海道,030- 43-2757,090-8266-4045,ドコモ,左ルー・ナン派
志田 菊生,しだ きくお,shida_kikuo@example.com,男,66,1955/2/16,既婚,大阪府,039-730-2567,090-9854-4082,ドコモ,右ルー・ルー攻め派
青山 幸平,あおやま こうへい,aoyama_kouhei@example.com,男,37,1984/6/26,既婚,埼玉県,079-507-8327,090-2442-2703,ソフトバンク,左ルー・せき止め派
浅川 淳子,あさかわ あつこ,asakawa_atsuko@example.com,女,66,1954/9/26,既婚,東京都,026-333-2877,080-7216-2287,ドコモ,左ルー・別口派
山瀬 優,やませ ゆう,yamase_yuu@example.com,男,39,1982/4/20,既婚,鹿児島県,021-951- 306,080-2985-8078,ソフトバンク,手前ルー・ルー攻め派
安部 サンタマリア,あべ さんたまりあ,abe_stmaria@example.com,男,64,1957/1/4,既婚,香川県,020-977-1780,080- 623-7354,ドコモ,左ルー・ルー攻め派
宮地 佳乃,みやじ よしの,miyaji_yoshino@example.com,女,48,1972/10/11,既婚,徳島県,025-886-6229,090-7685-5494,au,右ルー・混ぜ混ぜ派
岩間 六郎,いわま ろくろう,iwama_rokurou@example.com,男,52,1969/1/8,既婚,愛知県,088-751-1240,080-4113-4472,ドコモ,奥ルー・別口派
岡野 恵梨香,おかの えりか,okano_erika@example.com,女,36,1985/7/23,既婚,兵庫県,087- 74-1481,080-9701-8720,ドコモ,左ルー・せき止め派
長野 真一,ながの しんいち,nagano_shinichi@example.com,男,58,1963/2/5,既婚,山口県,046-163-4173,090-1795-2611,ドコモ,別盛り・ルー攻め派
波多野 昌代,はたの まさよ,hatano_masayo@example.com,女,46,1975/7/19,既婚,富山県,046-902-4543,080-5362-2479,ソフトバンク,右ルー・別口派
川畑 由宇,かわはた ゆう,kawahata_yuu@example.com,女,41,1980/9/16,既婚,愛知県,083-457-9847,080-6168-2329,au,ぶっかけ・混ぜ混ぜ派
新谷 淳子,あらや あつこ,araya_atsuko@example.com,女,22,1998/11/17,未婚,香川県,055-918-6685,090- 769-9418,au,奥ルー・ルー攻め派
新垣 一樹,にいがき かずき,niigaki_kazuki@example.com,男,59,1962/1/13,既婚,千葉県,083-613-8429,090-3214-1213,ソフトバンク,手前ルー・混ぜ混ぜ派
金谷 だん吉,かなや だんきち,kanaya_dankichi@example.com,男,66,1954/11/15,既婚,北海道,064-881-3505,080-3474- 630,ドコモ,手前ルー・せき止め派
森下 友也,もりした ともや,morishita_tomoya@example.com,男,30,1991/8/25,既婚,大阪府,061-596-9985,080-3135-6240,au,左ルー・別口派
瀬尾 由美子,せお ゆみこ,seo_yumiko@example.com,女,27,1994/5/25,未婚,神奈川県,063-781-4134,090-9105- 453,ドコモ,右ルー・混ぜ混ぜ派
松岡 惇,まつおか じゅん,matsuoka_jun@example.com,男,73,1947/10/14,既婚,佐賀県,097-944-6320,090-1677-  54,au,ぶっかけ・ルー攻め派
長沢 聡,ながさわ さとし,nagasawa_satoshi@example.com,男,42,1979/5/20,既婚,大阪府,071-583-4448,090-5747-3228,ドコモ,左ルー・ルー攻め派
関口 芳正,せきぐち よしまさ,sekiguchi_yoshimasa@example.com,男,65,1956/3/21,既婚,長崎県,073- 91-3186,080-6364-8630,ドコモ,左ルー・別口派
七瀬 友香,ななせ ともか,nanase_tomoka@example.com,女,78,1942/10/8,既婚,東京都,039-675-1270,080-7177-2498,ドコモ,左ルー・ルー攻め派
宮迫 浩介,みやさこ こうすけ,miyasako_kousuke@example.com,男,26,1995/6/28,既婚,滋賀県,028-401-7257,090-5520-2832,ドコモ,ぶっかけ・別口派
末永 有海,すえなが あみ,suenaga_ami@example.com,女,74,1946/12/13,既婚,神奈川県,061-329-6050,080-3885-5212,au,左ルー・ルー攻め派
戎 一樹,えびす かずき,ebisu_kazuki@example.com,男,41,1980/6/25,既婚,滋賀県,066-309-4340,080-8731-2259,ドコモ,ぶっかけ・せき止め派
近藤 賢二,こんどう けんじ,konndou_kenji@example.com,男,52,1968/10/18,既婚,東京都,011- 18-7720,080-5827-6119,ソフトバンク,左ルー・別口派
根岸 たかお,ねぎし たかお,negishi_takao@example.com,男,59,1962/5/21,既婚,広島県,047- 62-4874,080-1910-3654,au,奥ルー・せき止め派
松浦 誠一,まつうら せいいち,matsuura_seiichi@example.com,男,21,1999/10/30,未婚,神奈川県,043-688-3655,080- 318-2467,ドコモ,左ルー・ナン派
小畑 晴臣,おばた はるおみ,obata_haruomi@example.com,男,76,1945/2/10,既婚,大阪府,098-337-5210,090- 396-1168,ドコモ,ぶっかけ・ルー攻め派
村上 未來,むらかみ みらい,murakami_mirai@example.com,男,63,1958/7/6,既婚,福岡県,0 9-601-6529,090-7197-2927,ドコモ,別盛り・ナン派
柳原 恵美,やなぎはら めぐみ,yanagihara_megumi@example.com,女,21,1999/10/20,未婚,東京都,047-808-7348,080-7805-2691,au,右ルー・せき止め派
大和 智花,やまと ともか,yamato_tomoka@example.com,女,30,1990/12/2,既婚,愛知県,031- 59-8943,080-3258-1582,ドコモ,左ルー・ナン派
結城 愛梨,ゆうき あいり,yuuki_airi@example.com,女,69,1952/8/5,既婚,福岡県,090-310-7912,090-9211- 431,ドコモ,左ルー・ナン派
今川 良介,いまがわ りょうすけ,imagawa_ryousuke@example.com,男,40,1981/7/21,既婚,長崎県,074-223-9369,090- 444-4396,ドコモ,ぶっかけ・混ぜ混ぜ派
相馬 めぐみ,あいば めぐみ,aiba_megumi@example.com,女,27,1994/2/18,既婚,長野県,042-433-1559,080-3441-4007,ドコモ,左ルー・別口派
内藤 くるみ,ないとう くるみ,naitou_kurumi@example.com,女,47,1973/12/17,既婚,神奈川県,088-232-3659,090-4614-1536,ドコモ,奥ルー・せき止め派
早美 基祐,はやみ きすけ,hayami_kisuke@example.com,男,58,1962/12/30,既婚,神奈川県,052- 42- 179,090-7056-7442,au,ぶっかけ・別口派
大友 米蔵,おおとも よねぞう,ootomo_yonezou@example.com,男,30,1991/1/16,既婚,神奈川県,018-340-1626,090-8753-6397,ドコモ,左ルー・混ぜ混ぜ派
野本 恵美,のもと めぐみ,nomoto_megumi@example.com,女,41,1980/4/11,既婚,兵庫県,016-601-6737,080-3107-4845,ドコモ,ぶっかけ・せき止め派
泉 明宏,いずみ あきひろ,izumi_akihiro@example.com,男,69,1952/9/23,既婚,静岡県,021- 33-5887,080-6763-3999,ドコモ,左ルー・別口派
平良 菜々美,ひらら ななみ,hirara_nanami@example.com,女,39,1982/7/17,既婚,岡山県,012-837-4617,090-1461-9029,ドコモ,別盛り・せき止め派
森口 功補,もりぐち こうすけ,moriguchi_kousuke@example.com,男,80,1941/4/7,既婚,徳島県,094-129-3688,090-6634-2076,ソフトバンク,手前ルー・ルー攻め派
哀川 浩正,あいかわ ひろまさ,aikawa_hiromasa@example.com,男,49,1971/12/12,既婚,兵庫県,035-274-2476,080-3313-1299,ドコモ,左ルー・せき止め派
岡野 莉央,おかの りお,okano_rio@example.com,女,79,1942/6/27,既婚,和歌山県,047-975-1933,090-2320-1868,ドコモ,右ルー・ルー攻め派
相武 文世,あいぶ ふみよ,aibu_fumiyo@example.com,女,71,1950/3/22,既婚,東京都,012-380-5268,090-8668-1724,ドコモ,左ルー・別口派
鹿手袋 充則,しかてぶくろ みつのり,shikatebukuro_mitsunori@example.com,男,72,1949/4/23,既婚,福岡県,067-998-7673,080-7533-7625,ドコモ,ぶっかけ・ルー攻め派
谷村 賢二,たにむら けんじ,tanimura_kenji@example.com,男,71,1950/1/10,既婚,大阪府,067-735-3505,090-8743-1208,ドコモ,左ルー・せき止め派
小宮 優,こみや ゆう,komiya_yuu@example.com,男,43,1978/6/22,既婚,神奈川県,024-239-7397,090-3618-3990,au,左ルー・混ぜ混ぜ派
松沢 一恵,まつざわ かづえ,matsuzawa_kadue@example.com,女,65,1956/2/29,既婚,群馬県,096-740-3459,080-3073- 874,au,左ルー・混ぜ混ぜ派
池本 ジローラモ,いけもと じろーらも,ikemoto_girolamo@example.com,男,25,1996/5/14,既婚,千葉県,078-455-2165,090- 134-5952,ドコモ,ぶっかけ・別口派
坂東 禄郎,ばんとう ろくろう,banntou_rokurou@example.com,男,72,1949/5/7,既婚,千葉県,0 7-102-3734,080-3275-3093,ドコモ,左ルー・ルー攻め派
岸 璃子,きし りこ,kishi_riko@example.com,女,77,1944/8/31,既婚,熊本県,033-424- 452,090-5739-8137,ドコモ,奥ルー・せき止め派
大木 春樹,おおき はるき,ooki_haruki@example.com,女,74,1946/12/10,既婚,愛知県,056-635-3982,080-4767-1182,ドコモ,ぶっかけ・ナン派
藤岡 努,ふじおか つとむ,fujioka_tsutomu@example.com,男,51,1970/3/4,既婚,福島県,089-686-7668,090-3809-2300,ドコモ,左ルー・ルー攻め派
吉沢 瑠璃亜,よしざわ るりあ,yoshizawa_ruria@example.com,女,29,1992/1/7,既婚,岐阜県,030-601-2226,080-7709-2793,au,右ルー・混ぜ混ぜ派
山中 郁恵,やまなか いくえ,yamanaka_ikue@example.com,女,26,1995/9/1,既婚,東京都,044-580-1496,080-9328-9573,ドコモ,奥ルー・せき止め派
深谷 希,ふかや のぞみ,fukaya_nozomi@example.com,女,40,1981/9/19,既婚,福岡県,027-573-4313,080-2717-1934,ドコモ,ぶっかけ・別口派
寺沢 慶二,てらさわ けいじ,terasawa_keiji@example.com,男,23,1998/3/13,未婚,新潟県,054-620-9467,090-7930-5017,ドコモ,別盛り・ルー攻め派
沢村 倫子,さわむら のりこ,sawamura_noriko@example.com,女,55,1966/5/21,既婚,愛知県,073-490-6062,090-9675-3104,ドコモ,右ルー・せき止め派
千田 佳乃,せんだ よしの,sennda_yoshino@example.com,女,51,1970/3/17,既婚,岐阜県,021-872- 686,090-1338-2202,au,手前ルー・せき止め派
牧瀬 勇一,まきせ ゆういち,makise_yuuichi@example.com,男,35,1986/7/21,既婚,福岡県,026-175-6963,080-4772-4531,ドコモ,奥ルー・ルー攻め派
古田 菜々美,ふるた ななみ,furuta_nanami@example.com,女,20,2000/12/13,未婚,香川県,058-815-2766,090-9037-9364,ドコモ,右ルー・せき止め派
柴咲 恵子,しばさき けいこ,shibasaki_keiko@example.com,女,57,1964/6/1,既婚,青森県,0 8-125-9721,080- 602-7944,au,手前ルー・ルー攻め派
草野 雅之,くさの まさゆき,kusano_masayuki@example.com,男,61,1960/7/17,既婚,新潟県,031-392-7715,080-3045-6576,au,手前ルー・ルー攻め派
奥寺 大五郎,おくでら だいごろう,okudera_daigorou@example.com,男,60,1960/9/30,既婚,神奈川県,098-147-5674,080-6069-4729,ドコモ,右ルー・せき止め派
大石 陽介,おおいし ようすけ,ooishi_yousuke@example.com,男,67,1954/3/31,既婚,宮城県,032-277-3539,090-4215-4192,ソフトバンク,ぶっかけ・せき止め派
坂元 鉄洋,さかもと てつひろ,sakamoto_tetsuhiro@example.com,男,74,1947/6/28,既婚,北海道,029-773-7658,090-1962-1407,au,奥ルー・せき止め派
真田 満,さなだ みつる,sanada_mitsuru@example.com,男,68,1953/9/10,既婚,大阪府,098-676-2745,090-3406-9879,ドコモ,ぶっかけ・せき止め派
柳 サンタマリア,やなぎ さんたまりあ,yanagi_stmaria@example.com,女,34,1987/3/27,既婚,広島県,059-881-3504,080-6115-3672,au,右ルー・ルー攻め派
田端 崇史,たばた たかし,tabata_takashi@example.com,男,64,1957/7/13,既婚,神奈川県,044-459-1833,080-7943-1325,ドコモ,ぶっかけ・ルー攻め派
松沢 ケンイチ,まつざわ けんいち,matsuzawa_kenichi@example.com,男,28,1993/5/21,既婚,宮城県,015-553-9103,090-9714-4420,ドコモ,左ルー・別口派
渋谷 良介,しぶや りょうすけ,shibuya_ryousuke@example.com,男,20,2001/4/11,未婚,千葉県,067-330-9353,080-1042-8596,ドコモ,ぶっかけ・混ぜ混ぜ派
岩崎 一輝,いわさき かずき,iwasaki_kazuki@example.com,男,37,1984/2/20,既婚,愛媛県,0 8-424-7620,080-8556-8712,ドコモ,左ルー・せき止め派
中島 なぎさ,なかじま なぎさ,nakajima_nagisa@example.com,女,78,1942/10/14,既婚,兵庫県,028-754-7576,090-4646-7631,ツーカー,手前ルー・混ぜ混ぜ派
古谷 ヒロ,ふるたに ひろ,furutani_hiro@example.com,男,45,1976/5/6,既婚,長野県,060-780-9680,080-4584-1558,ドコモ,左ルー・せき止め派
門脇 花,かどわき はな,kadowaki_hana@example.com,女,47,1974/4/25,既婚,岐阜県,067- 69-7558,080-2022-3529,ドコモ,左ルー・せき止め派
田代 エリカ,たしろ えりか,tashiro_erika@example.com,女,57,1964/4/5,既婚,大阪府,045-725-5770,090- 812- 146,au,左ルー・混ぜ混ぜ派
飯田 希,いいだ のぞみ,iida_nozomi@example.com,女,48,1973/5/29,既婚,兵庫県,062- 42- 727,080-6317-6046,ドコモ,手前ルー・混ぜ混ぜ派
高山 めぐみ,たかやま めぐみ,takayama_megumi@example.com,女,21,2000/3/6,未婚,富山県,023-496-8905,090-3258-7959,ドコモ,左ルー・せき止め派
米沢 小雁,よねざわ こがん,yonezawa_kogan@example.com,男,45,1976/2/19,既婚,山形県,012-643-9734,080-1233-8235,ソフトバンク,右ルー・ルー攻め派
大木 早織,おおき さおり,ooki_saori@example.com,女,28,1992/10/26,既婚,熊本県,024- 65- 811,080-7876-3275,ドコモ,左ルー・せき止め派
小田島 美幸,おだじま みゆき,odajima_miyuki@example.com,女,64,1956/12/5,既婚,静岡県,047-334-2123,080-6956-6741,au,左ルー・せき止め派
河合 那奈,かわい なな,kawai_nana@example.com,女,33,1988/3/11,既婚,愛知県,066-539-1754,090-4782-9239,ドコモ,ぶっかけ・ナン派
望月 未華子,もちづき みかこ,mochiduki_mikako@example.com,女,72,1949/9/5,既婚,福岡県,081-647-3800,080-8799-7211,ドコモ,手前ルー・せき止め派
大和田 千夏,おおわだ ちなつ,oowada_chinatsu@example.com,女,44,1976/11/28,既婚,岐阜県,046-787-6713,080-2876-6205,au,左ルー・別口派
西村 美帆,にしむら みほ,nishimura_miho@example.com,女,77,1943/10/11,既婚,千葉県,080-556-1155,080-5792-4452,au,奥ルー・混ぜ混ぜ派
玉田 一徳,たまだ いっとく,tamada_ittoku@example.com,男,75,1946/6/8,既婚,神奈川県,060-998-4711,090-9370-4908,ソフトバンク,手前ルー・混ぜ混ぜ派
鎌田 菜摘,かまた なつみ,kamata_natsumi@example.com,女,64,1957/4/21,既婚,大分県,016-557-5500,090-6718-6169,au,右ルー・混ぜ混ぜ派
神谷 美優,かみや みゅう,kamiya_myuu@example.com,女,42,1979/1/31,既婚,静岡県,097-939-5266,080-8807-3929,ソフトバンク,手前ルー・せき止め派
岩間 知世,いわま ちせ,iwama_chise@example.com,女,31,1990/5/28,既婚,三重県,093-619-4851,090-4056-5506,ソフトバンク,ぶっかけ・ルー攻め派
前川 亮介,まえかわ りょうすけ,maekawa_ryousuke@example.com,男,38,1983/3/3,未婚,栃木県,061-606-5693,080-6861- 189,ドコモ,ぶっかけ・混ぜ混ぜ派
城咲 友也,しろさき ともや,shirosaki_tomoya@example.com,男,39,1982/8/6,既婚,埼玉県,021-325-5578,080-5129-7709,ソフトバンク,左ルー・せき止め派
辻本 季衣,つじもと としえ,tsujimoto_toshie@example.com,女,41,1980/3/18,既婚,群馬県,0 2-740-1981,090-1155-4742,ドコモ,左ルー・混ぜ混ぜ派
長田 誠一,ながた せいいち,nagata_seiichi@example.com,男,56,1965/8/7,既婚,鹿児島県,019-508-6583,090-4517-4954,ドコモ,奥ルー・別口派
細野 菜々美,ほその ななみ,hosono_nanami@example.com,女,80,1941/4/23,既婚,京都府,024-944-4179,090-6467- 396,ソフトバンク,ぶっかけ・せき止め派
志水 翔子,しみず しょうこ,shimizu_shouko@example.com,女,50,1971/1/21,既婚,福井県,056-329-3843,090-8392-6337,ソフトバンク,左ルー・ルー攻め派
中島 はるみ,なかしま はるみ,nakashima_harumi@example.com,女,65,1956/3/1,既婚,東京都,033-632- 851,080- 185-8796,ドコモ,ぶっかけ・混ぜ混ぜ派
中尾 洋,なかお よう,nakao_you@example.com,男,76,1945/8/12,既婚,岐阜県,031-138-3855,090-5452-3439,ドコモ,左ルー・混ぜ混ぜ派
松川 くるみ,まつかわ くるみ,matsukawa_kurumi@example.com,女,59,1962/8/27,既婚,大阪府,051-360-4188,080-1869-2432,ドコモ,左ルー・別口派
北川 あい,きたがわ あい,kitagawa_ai@example.com,女,26,1995/5/28,既婚,群馬県,084-962-2825,090-3053-4153,au,左ルー・ルー攻め派
村田 勇一,むらた ゆういち,murata_yuuichi@example.com,男,77,1944/7/16,既婚,長崎県,079-750-5741,090-7194-3463,ドコモ,別盛り・せき止め派
杉村 徹,すぎむら とおる,sugimura_tooru@example.com,男,35,1986/9/7,未婚,東京都,073-839-4231,080-6820-7027,ドコモ,左ルー・せき止め派
大槻 メイサ,おおつき めいさ,ootsuki_meisa@example.com,女,35,1986/3/22,既婚,福島県,044- 79-2588,080-8848-6599,ドコモ,左ルー・ナン派
中尾 美智子,なかお みちこ,nakao_michiko@example.com,女,73,1948/7/26,既婚,埼玉県,035-757-1042,090-7791-5068,ドコモ,ぶっかけ・せき止め派
村岡 健,むらおか けん,muraoka_ken@example.com,男,64,1957/9/3,既婚,千葉県,028-341-4953,090-9055- 616,ソフトバンク,奥ルー・別口派
北川 まさし,きたかわ まさし,kitakawa_masashi@example.com,男,43,1977/12/18,既婚,山形県,047-760-7739,090-3985-4556,ドコモ,右ルー・せき止め派
川井 弘也,かわい ひろなり,kawai_hironari@example.com,男,76,1944/11/30,既婚,大阪府,069- 93-7682,080- 325-9114,ドコモ,左ルー・混ぜ混ぜ派
長岡 建,ながおか けん,nagaoka_ken@example.com,男,70,1951/5/21,既婚,埼玉県,092- 84-3814,080-8270-1107,ドコモ,手前ルー・ルー攻め派
梅沢 明宏,うめざわ あきひろ,umezawa_akihiro@example.com,男,57,1963/12/19,既婚,埼玉県,038-786- 265,090-5545-6237,au,ぶっかけ・ルー攻め派
酒井 正敏,さかい まさとし,sakai_masatoshi@example.com,男,29,1991/10/22,未婚,北海道,010- 81-7880,090-5718-3346,ドコモ,ぶっかけ・混ぜ混ぜ派
三田 徹,みた とおる,mita_tooru@example.com,男,39,1981/9/27,既婚,茨城県,085-336-5114,080-3967-7689,au,ぶっかけ・別口派
赤羽 寛,あかばね ひろし,akabane_hiroshi@example.com,男,48,1973/5/16,既婚,北海道,068-402-6666,080-1585-9330,ドコモ,ぶっかけ・せき止め派
野原 圭,のはら けい,nohara_kei@example.com,男,28,1992/10/24,未婚,兵庫県,072-555-1648,080-  38-9143,ソフトバンク,左ルー・混ぜ混ぜ派
青柳 宏,あおやぎ ひろし,aoyagi_hiroshi@example.com,男,25,1996/3/21,未婚,茨城県,020-431-2204,090-7725-9111,ドコモ,右ルー・せき止め派
宮迫 エリカ,みやさこ えりか,miyasako_erika@example.com,女,65,1956/8/22,既婚,埼玉県,040-264-6845,090-4588-3610,ソフトバンク,手前ルー・混ぜ混ぜ派
松野 碧海,まつの おうが,matsuno_ouga@example.com,男,55,1966/5/17,既婚,岩手県,044- 96-8230,080-8314-5072,ソフトバンク,ぶっかけ・別口派
笹川 サンタマリア,ささがわ さんたまりあ,sasagawa_stmaria@example.com,男,35,1986/9/5,既婚,北海道,041-543-9359,090-4568-8806,au,手前ルー・ナン派
平田 敦,ひらた あつし,hirata_atsushi@example.com,男,26,1995/6/20,既婚,大阪府,074-135-5960,090-9422-2168,ドコモ,奥ルー・せき止め派
大島 奈央,おおしま なお,ooshima_nao@example.com,女,41,1980/6/3,既婚,福岡県,073-903-3936,080- 757-9221,ドコモ,右ルー・ナン派
植木 薫,うえき かおる,ueki_kaoru@example.com,男,65,1955/11/7,既婚,山梨県,094-514-1343,080-8363-4450,au,手前ルー・混ぜ混ぜ派
諏訪 サンタマリア,すわ さんたまりあ,suwa_stmaria@example.com,男,31,1989/10/22,既婚,鹿児島県,035-577- 815,090-8693-   6,ドコモ,手前ルー・混ぜ混ぜ派
千葉 耕司,ちば こうじ,chiba_kouji@example.com,男,40,1981/3/19,既婚,群馬県,088-205-8358,090-1165-3538,ソフトバンク,左ルー・せき止め派
越智 夏空,おち そら,ochi_sora@example.com,女,62,1959/7/15,既婚,滋賀県,091-559- 118,090-6813-8009,ドコモ,奥ルー・せき止め派
峰 未來,みね みらい,mine_mirai@example.com,女,34,1987/5/9,既婚,東京都,066-159-9841,080-6464-2093,ソフトバンク,左ルー・せき止め派
河田 咲,かわた さき,kawata_saki@example.com,女,49,1972/4/21,既婚,奈良県,049-583-6313,090-9241-6761,ドコモ,左ルー・混ぜ混ぜ派
真鍋 陽子,まなべ ようこ,manabe_youko@example.com,女,51,1970/2/5,既婚,山口県,089-151-3176,090-6892-9216,au,左ルー・ルー攻め派
浦田 拓郎,うらた たくろう,urata_takurou@example.com,男,46,1975/2/26,既婚,岩手県,038-693-2952,080-6559-9912,ドコモ,左ルー・混ぜ混ぜ派
須藤 将也,すどう まさや,sudou_masaya@example.com,男,43,1978/9/23,既婚,大阪府,0 4-688-6174,090-6703-4612,ソフトバンク,奥ルー・ルー攻め派
秦 丈雄,はた たけお,hata_takeo@example.com,男,63,1957/10/22,既婚,兵庫県,047-297-5120,090-6285-8937,ソフトバンク,手前ルー・別口派
篠原 沙耶,しのはら さや,shinohara_saya@example.com,女,55,1966/5/3,未婚,大阪府,085-590-2559,090-5775-3020,ドコモ,奥ルー・せき止め派
山元 勇介,やまもと ゆうすけ,yamamoto_yuusuke@example.com,男,22,1999/4/27,既婚,滋賀県,055-761-5640,090-8014-9533,ドコモ,左ルー・ルー攻め派
花田 健,はなだ けん,hanada_ken@example.com,男,42,1979/4/4,既婚,埼玉県,0 3-434-9973,080-3550-4872,ドコモ,左ルー・別口派
川畑 惇,かわはた あつし,kawahata_atsushi@example.com,男,63,1958/9/20,既婚,東京都,061-792-7856,080-3726-1002,au,ぶっかけ・混ぜ混ぜ派
桑田 光,くわた ひかる,kuwata_hikaru@example.com,男,53,1968/5/30,既婚,東京都,027-158-1793,080-7919-1241,au,左ルー・せき止め派
佐古 美月,さこ みづき,sako_miduki@example.com,女,24,1996/11/23,未婚,新潟県,0 8-462- 423,080-3758-3021,ドコモ,ぶっかけ・ナン派
内村 俊二,うちむら しゅんじ,uchimura_shunji@example.com,男,64,1956/10/7,既婚,宮城県,035-609-8503,080- 905- 267,ドコモ,左ルー・ルー攻め派
池畑 桃子,いけはた ももこ,ikehata_momoko@example.com,女,39,1982/9/4,既婚,東京都,031-584-7565,080-9786-4551,ドコモ,左ルー・せき止め派
山村 茜,やまむら あかね,yamamura_akane@example.com,女,63,1958/4/7,既婚,東京都,023-720-1246,080-7467- 436,au,左ルー・せき止め派
日比野 優一,ひびの ゆういち,hibino_yuuichi@example.com,男,45,1976/3/9,既婚,長崎県,046-533-4552,090-3733-7038,ソフトバンク,左ルー・ナン派
小畑 丈雄,おばた たけお,obata_takeo@example.com,男,30,1991/9/10,既婚,東京都,031-750-6696,080-5526-1187,ソフトバンク,手前ルー・別口派
内田 しほり,うちだ しほり,uchida_shihori@example.com,女,62,1959/3/29,既婚,兵庫県,065-955-6846,080- 530-9798,au,手前ルー・せき止め派
古沢 美佐,ふるさわ みさ,furusawa_misa@example.com,女,78,1943/3/9,既婚,東京都,015-251- 628,080- 205-1646,ドコモ,手前ルー・せき止め派
浅野 れいな,あさの れいな,asano_reina@example.com,女,23,1998/7/30,未婚,茨城県,0 4-820- 145,090-6053-2903,ドコモ,手前ルー・混ぜ混ぜ派
三村 愛梨,みむら あいり,mimura_airi@example.com,女,55,1966/1/27,既婚,福井県,082-810-2047,090-7227-5157,ソフトバンク,奥ルー・別口派
